prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,plms,laion400m,config
robot breakdancer in space,outputs/txt2img-samples,True,False,50,False,0.0,1,64,64,4,8,2,0,7.5,cuda,,964231,1.0,False,autocast,png,plms,sd-v1-4.ckpt,,,
robot breakdancer in space,outputs/txt2img-samples,True,False,50,False,0.0,1,512,512,4,8,2,0,7.5,cuda,,480843,1.0,False,autocast,png,plms,sd-v1-4.ckpt,,,
inkbrush style robot breakdancer in space,outputs/txt2img-samples,True,False,50,False,0.0,1,512,512,4,8,2,0,7.5,cuda,,628661,1.0,False,autocast,png,plms,sd-v1-4.ckpt,,,
robot breakdancer in space in the chinese inkbrush style,outputs/txt2img-samples,True,False,50,False,0.0,1,512,512,4,8,2,0,7.5,cuda,,418140,1.0,False,autocast,png,plms,sd-v1-4.ckpt,,,
"robot breakdancer in space,chinese inkbrush style",outputs/txt2img-samples,True,False,50,False,0.0,1,512,512,4,8,2,0,7.5,cuda,,630570,1.0,False,autocast,png,plms,sd-v1-4.ckpt,,,
Samurai fighing dragon in an abandoned battlefield,outputs/txt2img-samples,False,False,50,False,False,2,512,512,4,8,3,0,7.5,,,42,,,autocast,,,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,False,False,configs/stable-diffusion/v1-inference.yaml
Samurai fighing dragon in an abandoned battlefield,outputs/txt2img-samples,False,False,50,False,False,2,512,512,4,8,3,0,7.5,,,42,,,autocast,,,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,False,False,configs/stable-diffusion/v1-inference.yaml
Samurai fighing dragon in an abandoned battlefield,outputs/txt2img-samples,False,False,50,False,False,2,512,512,4,8,3,0,7.5,,,42,,,autocast,,,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,False,False,configs/stable-diffusion/v1-inference.yaml
Samurai fighing dragon in an abandoned battlefield,outputs/txt2img-samples,False,False,50,False,False,2,512,512,4,8,3,0,7.5,,,42,,,autocast,,,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,False,False,optimizedSD/v1-inference.yaml
Samurai fighing dragon in an abandoned battlefield,outputs/txt2img-samples,False,False,50,False,False,2,512,512,4,8,3,0,7.5,,,42,,,autocast,,,models/ldm/stable-diffusion-v1/sd-v1-4.ckpt,False,False,optimizedSD/v1-inference.yaml
